"variable","probability"
"(Intercept)",0
"feature1",0.941
"feature2",0
"feature3",0
"feature4",0
"feature5",0
"feature6",1
"feature7",0.007
"feature8",0
"feature9",0
"feature10",0
"feature11",0
"feature12",0
"feature13",0
"feature14",0.011
"feature15",0
"feature16",1
"feature17",0
"feature18",0.033
"feature19",0
"feature20",0
"feature21",0.015
"feature22",0
"feature23",0
"feature24",0
"feature25",0
"feature26",0
"feature27",0
"feature28",0
"feature29",0
"feature30",0.001
"feature31",0
"feature32",0.941
"feature33",0
"feature34",0
"feature35",0
"feature36",0
"feature37",0
"feature38",0
"feature39",0
"feature40",0.998
"feature41",0
"feature42",0
"feature43",0
"feature44",0.001
"feature45",0
"feature46",1
"feature47",0
"feature48",0.001
"feature49",0.863
"feature50",0
"feature1_2",0
"feature2_2",0
"feature3_2",0
"feature4_2",0.416
"feature5_2",0
"feature6_2",0
"feature7_2",0
"feature8_2",0
"feature9_2",0
"feature10_2",0
"feature11_2",0.002
"feature12_2",0
"feature13_2",0
"feature14_2",0
"feature15_2",0
"feature16_2",0
"feature17_2",0.001
"feature18_2",0
"feature19_2",0
"feature20_2",0
"feature21_2",0
"feature22_2",0
"feature23_2",0
"feature24_2",0
"feature25_2",0.065
"feature26_2",0
"feature27_2",0
"feature28_2",0.001
"feature29_2",0.002
"feature30_2",0
"feature31_2",0.231
"feature32_2",0
"feature33_2",0
"feature34_2",0
"feature35_2",0
"feature36_2",0
"feature37_2",0.002
"feature38_2",0
"feature39_2",0.001
"feature40_2",0
"feature41_2",0.166
"feature42_2",0
"feature43_2",0
"feature44_2",0.003
"feature45_2",0
"feature46_2",0
"feature47_2",0
"feature48_2",0.001
"feature49_2",0
"feature50_2",0
"log_feature1",0
"log_feature2",0
"log_feature3",0
"log_feature4",0.591
"log_feature5",0
"log_feature6",0
"log_feature7",0
"log_feature8",0
"log_feature9",0
"log_feature10",0
"log_feature11",0
"log_feature12",0
"log_feature13",0
"log_feature14",0
"log_feature15",0
"log_feature16",0
"log_feature17",0.006
"log_feature18",0
"log_feature19",0
"log_feature20",0
"log_feature21",0
"log_feature22",0
"log_feature23",0
"log_feature24",0
"log_feature25",0
"log_feature26",0
"log_feature27",0
"log_feature28",0.004
"log_feature29",0
"log_feature30",0
"log_feature31",0.782
"log_feature32",0
"log_feature33",0
"log_feature34",0
"log_feature35",0
"log_feature36",0
"log_feature37",0
"log_feature38",0
"log_feature39",0
"log_feature40",0
"log_feature41",0.793
"log_feature42",0
"log_feature43",0
"log_feature44",0
"log_feature45",0
"log_feature46",0
"log_feature47",0
"log_feature48",0.001
"log_feature49",0.105
"log_feature50",0
